url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd47522,vbd47522,980000.0,New,NaN,2.0,143.0,1.0,NaN,0.0,1.0,Super equipped,NaN,2.0,2.0,2.0,Hot air,Triple glass,0.0,2.0,0.0,NaN,0.0,34.0,NaN,1.0
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbt91228,rbt91228,325000.0,Normal,Immediately,3.0,154.0,1.0,0.0,NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,Double glass,1.0,NaN,0.0,30.0,0.0,6.0,NaN,1.0
https://immovlan.be/en/detail/ground-floor/for-sale/3500/hasselt/raq64055,raq64055,392000.0,New,NaN,3.0,129.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,0.0,NaN,0.0,48.0,0.0,18.0,NaN,NaN
https://immovlan.be/en/detail/farmland/for-sale/3960/bree/rbu51035,rbu51035,500000.0,NaN,On contract,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,461.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/1490/court-saint-etienne/vbd29716,vbd29716,234000.0,New,NaN,1.0,64.0,1.0,NaN,NaN,NaN,Super equipped,NaN,1.0,NaN,1.0,NaN,Double glass,0.0,NaN,1.0,NaN,0.0,9.0,NaN,1.0
https://immovlan.be/en/detail/apartment/for-sale/4031/angleur/vbb83353,vbb83353,309000.0,New,On contract,2.0,89.0,NaN,NaN,NaN,NaN,Fully equipped,Western kitchen,1.0,1.0,1.0,Gas,Double glass,NaN,3.0,NaN,NaN,0.0,11.0,NaN,NaN
https://immovlan.be/en/detail/mixed-building/for-sale/6900/marche-en-famenne/vbd23158,vbd23158,439000.0,Normal,On contract,7.0,379.0,1.0,NaN,NaN,NaN,Fully equipped,Western kitchen,3.0,2.0,3.0,Gas,NaN,1.0,2.0,1.0,NaN,0.0,20.0,155.0,1.0
https://immovlan.be/en/detail/residence/for-sale/2350/vosselaar/rbu60966,rbu60966,395000.0,To be renovated,On contract,5.0,200.0,1.0,NaN,0.0,1.0,NaN,NaN,1.0,NaN,2.0,Fuel oil,NaN,1.0,3.0,0.0,NaN,0.0,NaN,445.0,NaN
https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbu58313,rbu58313,299000.0,NaN,NaN,4.0,173.0,NaN,0.0,0.0,1.0,NaN,NaN,1.0,NaN,2.0,Gas,Double glass,NaN,2.0,0.0,NaN,0.0,NaN,242.0,NaN
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd47648,vbd47648,120000.0,To be renovated,On contract,2.0,104.0,1.0,0.0,NaN,NaN,Fully equipped,Western kitchen,1.0,1.0,NaN,Fuel oil,Double glass,1.0,3.0,1.0,NaN,0.0,25.0,25.0,1.0
https://immovlan.be/en/detail/residence/for-sale/6800/libramont-chevigny/vbd21063,vbd21063,399000.0,Normal,Immediately,3.0,400.0,1.0,0.0,0.0,NaN,Fully equipped,Western kitchen,1.0,NaN,2.0,Fuel oil,Double glass,1.0,3.0,0.0,300.0,0.0,15.0,1050.0,1.0
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd29548,vbd29548,225000.0,NaN,NaN,2.0,66.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,Gas,NaN,1.0,NaN,1.0,NaN,1.0,NaN,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd48581,vbd48581,295000.0,New,NaN,1.0,66.0,1.0,NaN,NaN,NaN,Super equipped,NaN,1.0,NaN,1.0,NaN,Double glass,0.0,3.0,0.0,NaN,0.0,NaN,NaN,1.0
https://immovlan.be/en/detail/villa/for-sale/1342/limelette/vbd49375,vbd49375,850000.0,Normal,On contract,4.0,302.0,1.0,0.0,0.0,1.0,Super equipped,NaN,2.0,1.0,3.0,Fuel oil,Double glass,1.0,4.0,0.0,2500.0,0.0,NaN,2734.0,0.0
https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu51725,rbu51725,165000.0,To be renovated,NaN,3.0,112.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,Double glass,NaN,2.0,1.0,NaN,1.0,NaN,66.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/6760/virton/vbd02363,vbd02363,215000.0,New,NaN,2.0,92.0,NaN,NaN,0.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.0,NaN,NaN
https://immovlan.be/en/detail/residence/for-sale/5001/belgrade/vbc54874,vbc54874,479000.0,New,NaN,3.0,198.0,1.0,NaN,NaN,NaN,Not equipped,NaN,NaN,1.0,3.0,Gas,NaN,1.0,3.0,0.0,NaN,0.0,NaN,368.0,NaN
https://immovlan.be/en/detail/residence/for-sale/3500/hasselt/rbu56947,rbu56947,530000.0,NaN,On contract,NaN,166.0,NaN,NaN,0.0,1.0,NaN,NaN,1.0,NaN,2.0,NaN,NaN,1.0,2.0,0.0,NaN,0.0,25.0,436.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu51423,rbu51423,329400.0,New,Immediately,2.0,100.0,1.0,NaN,0.0,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.0,2.0,1.0,NaN,0.0,17.0,NaN,NaN
https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbk13942,rbk13942,384590.0,New,NaN,4.0,200.0,NaN,0.0,0.0,NaN,NaN,NaN,1.0,NaN,2.0,NaN,NaN,NaN,3.0,0.0,231.0,1.0,NaN,324.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/8630/veurne/rbu65191,rbu65191,372000.0,NaN,NaN,3.0,122.0,NaN,NaN,0.0,NaN,NaN,NaN,2.0,NaN,1.0,NaN,NaN,0.0,NaN,1.0,NaN,0.0,NaN,NaN,NaN
https://immovlan.be/en/detail/mixed-building/for-sale/4101/jemeppe/vbd46673,vbd46673,195000.0,Normal,On contract,3.0,220.0,1.0,NaN,NaN,NaN,NaN,NaN,4.0,3.0,3.0,NaN,NaN,1.0,2.0,0.0,NaN,1.0,NaN,374.0,1.0
https://immovlan.be/en/detail/land/for-sale/8500/kortrijk/rbu66794,rbu66794,250000.0,NaN,On contract,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,678.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/1495/tilly/vbd01015,vbd01015,270000.0,NaN,NaN,2.0,127.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,2.0,NaN,NaN,1.0,NaN,1.0,NaN,0.0,NaN,NaN,NaN
https://immovlan.be/en/detail/land/for-sale/1600/sint-pieters-leeuw/rbu50825,rbu50825,216450.0,NaN,On contract,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,481.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/1654/huizingen/rbu52220,rbu52220,360000.0,New,NaN,2.0,108.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,Double glass,0.0,2.0,0.0,NaN,0.0,23.0,NaN,NaN
https://immovlan.be/en/detail/land/for-sale/6700/arlon/vbd29110,vbd29110,220000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2035.0,NaN
https://immovlan.be/en/detail/residence/for-sale/8840/staden/rbu39063,rbu39063,219000.0,NaN,On contract,5.0,170.0,NaN,0.0,0.0,NaN,NaN,NaN,1.0,NaN,1.0,Electricity,Double glass,1.0,2.0,0.0,NaN,1.0,NaN,1064.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/5060/sambreville/vbd40250,vbd40250,189628.0,NaN,NaN,1.0,64.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/3970/leopoldsburg/rbu43060,rbu43060,295000.0,New,Immediately,2.0,86.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,0.0,2.0,1.0,NaN,0.0,55.0,NaN,NaN
https://immovlan.be/en/detail/residence/for-sale/3600/genk/rbu64243,rbu64243,365000.0,To be renovated,On contract,3.0,185.0,1.0,NaN,0.0,1.0,NaN,NaN,NaN,NaN,NaN,Gas,NaN,1.0,NaN,0.0,NaN,0.0,NaN,937.0,NaN
